,lente,rapide,benef
827,28,17,28.071
828,29,17,27.25
829,30,17,-7.673
830,31,17,-8.635
831,32,17,-8.253
832,33,17,-9.332
833,34,17,-8.066
834,35,17,-8.066
835,36,17,-8.712
836,37,17,-7.697
837,38,17,-7.63
838,39,17,-7.63
839,40,17,-5.775
840,41,17,-5.479
841,42,17,-5.479
842,43,17,-5.479
843,44,17,-5.479
844,45,17,-2.917
845,46,17,-3.118
846,47,17,-3.43
847,48,17,-5.665
848,49,17,-5.36
849,50,17,-7.857
850,1,18,15.436
851,2,18,5.532
852,3,18,8.73
853,4,18,1.244
854,5,18,-1.371
855,6,18,-1.812
856,7,18,-0.549
857,8,18,-3.136
858,9,18,-6.968
859,10,18,-1.446
860,11,18,3.379
861,12,18,-1.192
862,13,18,2.408
863,14,18,6.797
864,15,18,1.155
865,16,18,1.962
866,17,18,6.168
867,18,18,0.0
868,19,18,10.979
869,20,18,8.632
870,21,18,16.177
871,22,18,12.536
872,23,18,17.057
873,24,18,19.131
874,25,18,22.287
875,26,18,24.138
876,27,18,26.987
877,28,18,28.371
878,29,18,26.029
879,30,18,29.419
880,31,18,-6.676
881,32,18,-6.005
882,33,18,-5.981
883,34,18,-6.499
884,35,18,-7.426
885,36,18,-7.426
886,37,18,-5.072
887,38,18,-5.072
888,39,18,-5.503
889,40,18,-5.503
890,41,18,-5.503
891,42,18,-5.503
892,43,18,-2.942
893,44,18,-2.942
894,45,18,-3.23
895,46,18,-3.23
896,47,18,-2.793
897,48,18,-2.793
898,49,18,-5.043
899,50,18,-5.043
900,1,19,11.456
901,2,19,3.288
902,3,19,2.326
903,4,19,-1.691
904,5,19,-1.333
905,6,19,0.671
906,7,19,1.747
907,8,19,-3.171
908,9,19,-2.051
909,10,19,1.443
910,11,19,-0.161
911,12,19,-1.943
912,13,19,4.243
913,14,19,5.147
914,15,19,1.093
915,16,19,4.258
916,17,19,7.751
917,18,19,5.947
918,19,19,0.0
919,20,19,15.747
920,21,19,12.856
921,22,19,18.117
922,23,19,14.837
923,24,19,19.842
924,25,19,24.439
925,26,19,25.465
926,27,19,28.344
927,28,19,29.274
928,29,19,30.799
929,30,19,29.539
930,31,19,-4.347
931,32,19,-3.947
932,33,19,-3.947
933,34,19,-2.321
934,35,19,-5.315
935,36,19,-5.315
936,37,19,-5.247
937,38,19,-5.503
938,39,19,-5.503
939,40,19,-3.202
940,41,19,-3.202
941,42,19,-3.514
942,43,19,-3.514
943,44,19,-3.514
944,45,19,-2.617
945,46,19,-2.617
946,47,19,-2.354
947,48,19,-2.556
948,49,19,-1.911
949,50,19,-1.911
950,1,20,15.392
951,2,20,0.378
952,3,20,2.938
953,4,20,0.911
954,5,20,0.419
955,6,20,0.935
956,7,20,-4.564
957,8,20,-2.467
958,9,20,-0.697
959,10,20,3.982
960,11,20,1.399
961,12,20,1.439
962,13,20,2.111
963,14,20,2.738
964,15,20,2.494
965,16,20,2.48
966,17,20,5.626
967,18,20,8.35
968,19,20,1.69
969,20,20,0.0
970,21,20,14.249
971,22,20,15.442
972,23,20,18.351
973,24,20,26.146
974,25,20,26.685
975,26,20,28.355
976,27,20,30.258
977,28,20,28.976
978,29,20,32.111
979,30,20,32.976
980,31,20,30.505
981,32,20,-4.543
982,33,20,-4.822
983,34,20,-3.212
984,35,20,-4.288
985,36,20,-6.052
986,37,20,-6.052
987,38,20,-5.756
988,39,20,-5.756
989,40,20,-3.202
990,41,20,-3.514
991,42,20,-3.514
992,43,20,-2.878
993,44,20,-2.878
994,45,20,-2.641
995,46,20,-2.641
996,47,20,-1.733
997,48,20,-1.708
998,49,20,-1.774
999,50,20,-3.505
