,lente,rapide,benef
521,22,11,-4.041
522,23,11,-0.568
523,24,11,-0.079
524,25,11,-0.936
525,26,11,-0.245
526,27,11,1.706
527,28,11,2.687
528,29,11,2.711
529,30,11,1.552
530,31,11,3.505
531,32,11,3.503
532,33,11,0.188
533,34,11,-1.225
534,35,11,-1.43
535,36,11,-1.43
536,37,11,-2.656
537,38,11,-1.174
538,39,11,-1.328
539,40,11,-2.148
540,41,11,-2.904
541,42,11,-2.904
542,43,11,-2.904
543,44,11,-3.671
544,45,11,-3.5
545,46,11,-3.5
546,47,11,-4.772
547,48,11,-4.772
548,49,11,-4.772
549,50,11,-4.816
550,1,12,9.514
551,2,12,4.85
552,3,12,9.849
553,4,12,11.954
554,5,12,5.143
555,6,12,4.455
556,7,12,1.972
557,8,12,1.242
558,9,12,3.153
559,10,12,5.774
560,11,12,2.092
561,12,12,0.0
562,13,12,15.69
563,14,12,7.832
564,15,12,10.924
565,16,12,10.257
566,17,12,10.19
567,18,12,10.995
568,19,12,3.293
569,20,12,8.403
570,21,12,-2.506
571,22,12,-3.186
572,23,12,-1.338
573,24,12,-0.318
574,25,12,-2.221
575,26,12,-1.957
576,27,12,-2.426
577,28,12,2.534
578,29,12,2.826
579,30,12,2.879
580,31,12,3.597
581,32,12,-1.025
582,33,12,-1.025
583,34,12,-1.23
584,35,12,-1.23
585,36,12,-1.23
586,37,12,-0.107
587,38,12,-0.263
588,39,12,-2.264
589,40,12,-3.077
590,41,12,-3.077
591,42,12,-3.612
592,43,12,-3.612
593,44,12,-3.892
594,45,12,-3.952
595,46,12,-3.671
596,47,12,-4.082
597,48,12,-3.912
598,49,12,-3.912
599,50,12,-3.912
600,1,13,10.657
601,2,13,4.802
602,3,13,12.158
603,4,13,10.819
604,5,13,2.979
605,6,13,3.625
606,7,13,2.812
607,8,13,3.111
608,9,13,0.94
609,10,13,-0.791
610,11,13,0.508
611,12,13,-4.198
612,13,13,0.0
613,14,13,6.748
614,15,13,11.414
615,16,13,10.339
616,17,13,7.44
617,18,13,6.993
618,19,13,7.205
619,20,13,7.85
620,21,13,11.353
621,22,13,-3.032
622,23,13,-2.904
623,24,13,-2.04
624,25,13,-0.985
625,26,13,-2.691
626,27,13,-0.483
627,28,13,1.744
628,29,13,3.009
629,30,13,2.964
630,31,13,1.383
631,32,13,-1.79
632,33,13,-2.21
633,34,13,-2.278
634,35,13,-2.278
635,36,13,-0.791
636,37,13,-0.019
637,38,13,-0.945
638,39,13,-2.142
639,40,13,-2.142
640,41,13,-2.142
641,42,13,-2.682
642,43,13,-2.742
643,44,13,-2.787
644,45,13,-2.787
645,46,13,-2.193
646,47,13,-2.787
647,48,13,-3.007
648,49,13,-3.933
649,50,13,-3.933
650,1,14,9.515
651,2,14,11.35
652,3,14,8.251
653,4,14,5.28
654,5,14,4.124
655,6,14,4.01
656,7,14,3.06
657,8,14,2.642
658,9,14,-0.281
659,10,14,0.007
660,11,14,2.401
661,12,14,2.783
662,13,14,0.343
663,14,14,0.0
664,15,14,10.699
665,16,14,10.53
666,17,14,11.511
667,18,14,10.508
668,19,14,11.885
669,20,14,10.641
670,21,14,14.901
671,22,14,16.387
672,23,14,1.378
673,24,14,-1.001
674,25,14,-1.552
675,26,14,-1.864
676,27,14,0.412
677,28,14,-3.162
678,29,14,-1.154
679,30,14,-1.128
680,31,14,0.186
681,32,14,-3.082
682,33,14,-3.082
683,34,14,-2.557
684,35,14,-2.586
685,36,14,-0.184
686,37,14,-1.109
687,38,14,-1.931
688,39,14,-0.651
689,40,14,0.123
690,41,14,-1.774
691,42,14,-1.774
692,43,14,-2.148
693,44,14,-2.193
694,45,14,-4.676
695,46,14,-4.527
696,47,14,-4.891
697,48,14,-3.595
698,49,14,-3.627
699,50,14,-4.566
700,1,15,7.757
701,2,15,13.273
702,3,15,9.384
703,4,15,5.637
704,5,15,5.244
