Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
24/11/2014,"280,52","280,52","280,52","280,52",,"0,24%",280.52,280.52,280.52,280.52
25/11/2014,"280,52","280,52","280,52","280,52",,"0,00%",280.52,280.52,280.52,280.52
26/11/2014,"280,50","280,50","280,50","280,50",,"-0,01%",280.5,280.5,280.5,280.5
27/11/2014,"277,63","277,63","277,63","277,63",,"-1,02%",277.63,277.63,277.63,277.63
28/11/2014,"277,78","277,78","277,78","277,78",,"0,05%",277.78,277.78,277.78,277.78
01/12/2014,"277,83","277,83","277,83","277,83",,"0,02%",277.83,277.83,277.83,277.83
02/12/2014,"277,26","277,26","277,26","277,26",,"-0,21%",277.26,277.26,277.26,277.26
03/12/2014,"277,26","277,26","277,26","277,26",,"0,00%",277.26,277.26,277.26,277.26
04/12/2014,"277,26","277,26","277,26","277,26",,"0,00%",277.26,277.26,277.26,277.26
05/12/2014,"277,25","277,25","277,25","277,25",,"0,00%",277.25,277.25,277.25,277.25
08/12/2014,"278,78","278,78","278,78","278,78",,"0,55%",278.78,278.78,278.78,278.78
09/12/2014,"276,10","276,10","276,10","276,10",,"-0,96%",276.1,276.1,276.1,276.1
10/12/2014,"276,11","276,11","276,11","276,11",,"0,00%",276.11,276.11,276.11,276.11
11/12/2014,"275,91","275,91","275,91","275,91",,"-0,07%",275.91,275.91,275.91,275.91
12/12/2014,"274,58","274,58","274,58","274,58",,"-0,48%",274.58,274.58,274.58,274.58
15/12/2014,"281,53","281,53","281,53","281,53",,"2,53%",281.53,281.53,281.53,281.53
16/12/2014,"276,53","276,53","276,53","276,53",,"-1,78%",276.53,276.53,276.53,276.53
17/12/2014,"276,98","276,98","276,98","276,98",,"0,16%",276.98,276.98,276.98,276.98
18/12/2014,"277,77","277,77","277,77","277,77",,"0,29%",277.77,277.77,277.77,277.77
19/12/2014,"281,96","281,96","281,96","281,96",,"1,51%",281.96,281.96,281.96,281.96
22/12/2014,"282,07","282,07","282,07","282,07",,"0,04%",282.07,282.07,282.07,282.07
23/12/2014,"284,60","284,60","284,60","284,60",,"0,90%",284.6,284.6,284.6,284.6
24/12/2014,"287,22","287,22","287,22","287,22",,"0,92%",287.22,287.22,287.22,287.22
26/12/2014,"283,21","283,21","283,21","283,21",,"-1,40%",283.21,283.21,283.21,283.21
29/12/2014,"284,61","284,61","284,61","284,61",,"0,49%",284.61,284.61,284.61,284.61
30/12/2014,"289,11","289,11","289,11","289,11",,"1,58%",289.11,289.11,289.11,289.11
31/12/2014,"296,96","296,96","296,96","296,96",,"2,72%",296.96,296.96,296.96,296.96
02/01/2015,"302,15","302,15","302,15","302,15",,"1,75%",302.15,302.15,302.15,302.15
05/01/2015,"302,73","302,73","302,73","302,73",,"0,19%",302.73,302.73,302.73,302.73
06/01/2015,"306,48","306,48","306,48","306,48",,"1,24%",306.48,306.48,306.48,306.48
07/01/2015,"307,33","307,33","307,33","307,33",,"0,28%",307.33,307.33,307.33,307.33
08/01/2015,"302,09","302,09","302,09","302,09",,"-1,71%",302.09,302.09,302.09,302.09
09/01/2015,"302,10","302,10","302,10","302,10",,"0,00%",302.1,302.1,302.1,302.1
12/01/2015,"301,10","301,10","301,10","301,10",,"-0,33%",301.1,301.1,301.1,301.1
