Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
08/02/2021,1.49,1.49,1.49,1.49,"0,18K","1,02%",1.49,1.49,1.49,1.49
09/02/2021,1.4,1.4,1.4,1.4,"1,02K","-6,04%",1.4,1.4,1.4,1.4
10/02/2021,1.4,1.4,1.4,1.4,"0,11K","0,00%",1.4,1.4,1.4,1.4
11/02/2021,1.45,1.45,1.45,1.45,"0,41K","3,57%",1.45,1.45,1.45,1.45
12/02/2021,1.4,1.4,1.4,1.4,"0,34K","-3,45%",1.4,1.4,1.4,1.4
15/02/2021,1.4,1.4,1.4,1.4,"0,92K","0,00%",1.4,1.4,1.4,1.4
16/02/2021,1.4,1.4,1.4,1.4,"0,08K","0,00%",1.4,1.4,1.4,1.4
17/02/2021,1.4,1.4,1.4,1.4,"0,67K","0,00%",1.4,1.4,1.4,1.4
18/02/2021,1.42,1.42,1.42,1.42,"0,05K","1,43%",1.42,1.42,1.42,1.42
19/02/2021,1.44,1.44,1.44,1.44,"0,26K","1,41%",1.44,1.44,1.44,1.44
22/02/2021,1.4,1.4,1.4,1.4,"1,77K","-2,78%",1.4,1.4,1.4,1.4
23/02/2021,1.4,1.4,1.4,1.4,"0,43K","0,00%",1.4,1.4,1.4,1.4
24/02/2021,1.4,1.4,1.4,1.4,"0,26K","0,00%",1.4,1.4,1.4,1.4
25/02/2021,1.35,1.35,1.35,1.35,"1,53K","-3,57%",1.35,1.35,1.35,1.35
26/02/2021,1.4,1.4,1.4,1.4,"0,15K","3,70%",1.4,1.4,1.4,1.4
01/03/2021,1.45,1.45,1.45,1.45,"1,12K","3,57%",1.45,1.45,1.45,1.45
02/03/2021,1.41,1.41,1.41,1.41,"1,09K","-2,76%",1.41,1.41,1.41,1.41
03/03/2021,1.5,1.5,1.5,1.5,"0,83K","6,38%",1.5,1.5,1.5,1.5
04/03/2021,1.5,1.5,1.5,1.5,"1,91K","0,00%",1.5,1.5,1.5,1.5
05/03/2021,1.495,1.495,1.495,1.495,"0,98K","-0,33%",1.495,1.495,1.495,1.495
08/03/2021,1.495,1.495,1.495,1.495,"1,46K","0,00%",1.495,1.495,1.495,1.495
09/03/2021,1.455,1.455,1.455,1.455,"0,17K","-2,68%",1.455,1.455,1.455,1.455
10/03/2021,1.455,1.455,1.455,1.455,"0,15K","0,00%",1.455,1.455,1.455,1.455
11/03/2021,1.5,1.5,1.5,1.5,"3,15K","3,09%",1.5,1.5,1.5,1.5
12/03/2021,1.5,1.5,1.5,1.5,"0,31K","0,00%",1.5,1.5,1.5,1.5
15/03/2021,1.495,1.495,1.495,1.495,"0,53K","-0,33%",1.495,1.495,1.495,1.495
16/03/2021,1.495,1.495,1.495,1.495,"0,26K","0,00%",1.495,1.495,1.495,1.495
17/03/2021,1.485,1.485,1.485,1.485,"0,16K","-0,67%",1.485,1.485,1.485,1.485
18/03/2021,1.48,1.48,1.48,1.48,"0,41K","-0,34%",1.48,1.48,1.48,1.48
19/03/2021,1.48,1.48,1.48,1.48,"1,10K","0,00%",1.48,1.48,1.48,1.48
22/03/2021,1.455,1.455,1.455,1.455,"0,89K","-1,69%",1.455,1.455,1.455,1.455
23/03/2021,1.46,1.46,1.46,1.46,"0,83K","0,34%",1.46,1.46,1.46,1.46
24/03/2021,1.485,1.485,1.485,1.485,"3,08K","1,71%",1.485,1.485,1.485,1.485
25/03/2021,1.46,1.46,1.46,1.46,"1,67K","-1,68%",1.46,1.46,1.46,1.46
26/03/2021,1.4,1.4,1.4,1.4,"1,04K","-4,11%",1.4,1.4,1.4,1.4
29/03/2021,1.4,1.4,1.4,1.4,"0,29K","0,00%",1.4,1.4,1.4,1.4
30/03/2021,1.4,1.4,1.4,1.4,"3,07K","0,00%",1.4,1.4,1.4,1.4
31/03/2021,1.35,1.35,1.35,1.35,"0,79K","-3,57%",1.35,1.35,1.35,1.35
01/04/2021,1.4,1.4,1.4,1.4,"0,28K","3,70%",1.4,1.4,1.4,1.4
02/04/2021,1.395,1.395,1.395,1.395,"1,40K","-0,36%",1.395,1.395,1.395,1.395
06/04/2021,1.4,1.4,1.4,1.4,"2,61K","0,36%",1.4,1.4,1.4,1.4
07/04/2021,1.4,1.4,1.4,1.4,"2,73K","0,00%",1.4,1.4,1.4,1.4
08/04/2021,1.4,1.4,1.4,1.4,"1,50K","0,00%",1.4,1.4,1.4,1.4
09/04/2021,1.48,1.48,1.48,1.48,"7,17K","5,71%",1.48,1.48,1.48,1.48
12/04/2021,1.375,1.375,1.375,1.375,"41,75K","-7,09%",1.375,1.375,1.375,1.375
13/04/2021,1.45,1.45,1.45,1.45,"171,18K","5,45%",1.45,1.45,1.45,1.45
14/04/2021,1.45,1.45,1.45,1.45,"2,70K","0,00%",1.45,1.45,1.45,1.45
15/04/2021,1.435,1.435,1.435,1.435,"3,10K","-1,03%",1.435,1.435,1.435,1.435
16/04/2021,1.38,1.38,1.38,1.38,"0,47K","-3,83%",1.38,1.38,1.38,1.38
