Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
10/09/2015,123.0,123.0,123.0,123.0,"0,06K","0,82%",123.0,123.0,123.0,123.0
11/09/2015,123.495,123.495,123.495,123.495,"0,13K","0,40%",123.495,123.495,123.495,123.495
14/09/2015,123.495,123.495,123.495,123.495,"0,28K","0,00%",123.495,123.495,123.495,123.495
15/09/2015,123.5,123.5,123.5,123.5,"0,32K","0,00%",123.5,123.5,123.5,123.5
16/09/2015,125.0,125.0,125.0,125.0,"0,00K","1,21%",125.0,125.0,125.0,125.0
17/09/2015,125.0,125.0,125.0,125.0,"0,01K","0,00%",125.0,125.0,125.0,125.0
18/09/2015,124.5,124.5,124.5,124.5,"0,01K","-0,40%",124.5,124.5,124.5,124.5
21/09/2015,125.02,125.02,125.02,125.02,"0,03K","0,42%",125.02,125.02,125.02,125.02
22/09/2015,126.0,126.0,126.0,126.0,"0,02K","0,78%",126.0,126.0,126.0,126.0
23/09/2015,127.0,127.0,127.0,127.0,"0,08K","0,79%",127.0,127.0,127.0,127.0
25/09/2015,127.0,127.0,127.0,127.0,"0,84K","0,00%",127.0,127.0,127.0,127.0
28/09/2015,126.0,126.0,126.0,126.0,"0,01K","-0,79%",126.0,126.0,126.0,126.0
29/09/2015,127.0,127.0,127.0,127.0,"0,42K","0,79%",127.0,127.0,127.0,127.0
30/09/2015,127.0,127.0,127.0,127.0,"0,03K","0,00%",127.0,127.0,127.0,127.0
01/10/2015,125.0,125.0,125.0,125.0,"0,12K","-1,57%",125.0,125.0,125.0,125.0
02/10/2015,124.99,124.99,124.99,124.99,"0,35K","-0,01%",124.99,124.99,124.99,124.99
05/10/2015,124.99,124.99,124.99,124.99,"0,06K","0,00%",124.99,124.99,124.99,124.99
06/10/2015,127.0,127.0,127.0,127.0,"0,01K","1,61%",127.0,127.0,127.0,127.0
07/10/2015,125.0,125.0,125.0,125.0,"0,19K","-1,57%",125.0,125.0,125.0,125.0
08/10/2015,124.1,124.1,124.1,124.1,"0,05K","-0,72%",124.1,124.1,124.1,124.1
12/10/2015,124.0,124.0,124.0,124.0,"0,11K","-0,08%",124.0,124.0,124.0,124.0
13/10/2015,124.1,124.1,124.1,124.1,"0,00K","0,08%",124.1,124.1,124.1,124.1
14/10/2015,125.005,125.005,125.005,125.005,"0,01K","0,73%",125.005,125.005,125.005,125.005
15/10/2015,125.0,125.0,125.0,125.0,"0,00K","0,00%",125.0,125.0,125.0,125.0
16/10/2015,125.0,125.0,125.0,125.0,"0,03K","0,00%",125.0,125.0,125.0,125.0
19/10/2015,125.0,125.0,125.0,125.0,"0,00K","0,00%",125.0,125.0,125.0,125.0
20/10/2015,125.0,125.0,125.0,125.0,"0,01K","0,00%",125.0,125.0,125.0,125.0
21/10/2015,125.0,125.0,125.0,125.0,"0,01K","0,00%",125.0,125.0,125.0,125.0
23/10/2015,125.0,125.0,125.0,125.0,"0,01K","0,00%",125.0,125.0,125.0,125.0
26/10/2015,126.0,126.0,126.0,126.0,"0,02K","0,80%",126.0,126.0,126.0,126.0
27/10/2015,126.0,126.0,126.0,126.0,"0,00K","0,00%",126.0,126.0,126.0,126.0
28/10/2015,126.0,126.0,126.0,126.0,"0,03K","0,00%",126.0,126.0,126.0,126.0
30/10/2015,126.005,126.005,126.005,126.005,"0,00K","0,00%",126.005,126.005,126.005,126.005
02/11/2015,126.5,126.5,126.5,126.5,"0,26K","0,39%",126.5,126.5,126.5,126.5
03/11/2015,126.0,126.0,126.0,126.0,"0,01K","-0,40%",126.0,126.0,126.0,126.0
04/11/2015,126.0,126.0,126.0,126.0,"0,00K","0,00%",126.0,126.0,126.0,126.0
05/11/2015,125.0,125.0,125.0,125.0,"0,04K","-0,79%",125.0,125.0,125.0,125.0
06/11/2015,125.005,125.005,125.005,125.005,"0,11K","0,00%",125.005,125.005,125.005,125.005
09/11/2015,125.015,125.015,125.015,125.015,"0,00K","0,01%",125.015,125.015,125.015,125.015
10/11/2015,126.0,126.0,126.0,126.0,"0,13K","0,79%",126.0,126.0,126.0,126.0
11/11/2015,125.0,125.0,125.0,125.0,"0,35K","-0,79%",125.0,125.0,125.0,125.0
12/11/2015,126.0,126.0,126.0,126.0,"0,21K","0,80%",126.0,126.0,126.0,126.0
13/11/2015,125.0,125.0,125.0,125.0,"0,00K","-0,79%",125.0,125.0,125.0,125.0
16/11/2015,125.0,125.0,125.0,125.0,"0,23K","0,00%",125.0,125.0,125.0,125.0
17/11/2015,120.0,120.0,120.0,120.0,"0,53K","-4,00%",120.0,120.0,120.0,120.0
18/11/2015,120.0,120.0,120.0,120.0,"0,14K","0,00%",120.0,120.0,120.0,120.0
19/11/2015,121.0,121.0,121.0,121.0,"0,03K","0,83%",121.0,121.0,121.0,121.0
20/11/2015,125.0,125.0,125.0,125.0,"0,24K","3,31%",125.0,125.0,125.0,125.0
23/11/2015,125.0,125.0,125.0,125.0,"0,11K","0,00%",125.0,125.0,125.0,125.0
24/11/2015,125.0,125.0,125.0,125.0,"0,03K","0,00%",125.0,125.0,125.0,125.0
25/11/2015,134.0,134.0,134.0,134.0,"0,90K","7,20%",134.0,134.0,134.0,134.0
26/11/2015,134.375,134.375,134.375,134.375,"0,23K","0,28%",134.375,134.375,134.375,134.375
30/11/2015,132.0,132.0,132.0,132.0,"0,03K","-1,77%",132.0,132.0,132.0,132.0
01/12/2015,130.0,130.0,130.0,130.0,"0,13K","-1,52%",130.0,130.0,130.0,130.0
02/12/2015,131.0,131.0,131.0,131.0,"0,01K","0,77%",131.0,131.0,131.0,131.0
03/12/2015,131.005,131.005,131.005,131.005,"0,02K","0,00%",131.005,131.005,131.005,131.005
04/12/2015,131.005,131.005,131.005,131.005,"0,00K","0,00%",131.005,131.005,131.005,131.005
07/12/2015,131.005,131.005,131.005,131.005,"2,50K","0,00%",131.005,131.005,131.005,131.005
08/12/2015,131.0,131.0,131.0,131.0,"0,02K","0,00%",131.0,131.0,131.0,131.0
09/12/2015,129.995,129.995,129.995,129.995,"0,01K","-0,77%",129.995,129.995,129.995,129.995
10/12/2015,130.0,130.0,130.0,130.0,"0,03K","0,00%",130.0,130.0,130.0,130.0
11/12/2015,132.5,132.5,132.5,132.5,"0,00K","1,92%",132.5,132.5,132.5,132.5
14/12/2015,130.0,130.0,130.0,130.0,"0,02K","-1,89%",130.0,130.0,130.0,130.0
15/12/2015,126.5,126.5,126.5,126.5,"0,05K","-2,69%",126.5,126.5,126.5,126.5
16/12/2015,126.5,126.5,126.5,126.5,"0,04K","0,00%",126.5,126.5,126.5,126.5
18/12/2015,126.5,126.5,126.5,126.5,"0,04K","0,00%",126.5,126.5,126.5,126.5
21/12/2015,126.5,126.5,126.5,126.5,"0,00K","0,00%",126.5,126.5,126.5,126.5
22/12/2015,126.5,126.5,126.5,126.5,"0,01K","0,00%",126.5,126.5,126.5,126.5
28/12/2015,126.5,126.5,126.5,126.5,"0,01K","0,00%",126.5,126.5,126.5,126.5
29/12/2015,130.0,130.0,130.0,130.0,"0,01K","2,77%",130.0,130.0,130.0,130.0
30/12/2015,130.0,130.0,130.0,130.0,"0,06K","0,00%",130.0,130.0,130.0,130.0
07/01/2016,130.0,130.0,130.0,130.0,"0,14K","0,00%",130.0,130.0,130.0,130.0
08/01/2016,130.0,130.0,130.0,130.0,"0,02K","0,00%",130.0,130.0,130.0,130.0
11/01/2016,130.0,130.0,130.0,130.0,"0,01K","0,00%",130.0,130.0,130.0,130.0
12/01/2016,130.0,130.0,130.0,130.0,"0,04K","0,00%",130.0,130.0,130.0,130.0
18/01/2016,130.005,130.005,130.005,130.005,"0,04K","0,00%",130.005,130.005,130.005,130.005
20/01/2016,133.0,133.0,133.0,133.0,"0,10K","2,30%",133.0,133.0,133.0,133.0
21/01/2016,133.0,133.0,133.0,133.0,"0,07K","0,00%",133.0,133.0,133.0,133.0
25/01/2016,134.5,134.5,134.5,134.5,"0,14K","1,13%",134.5,134.5,134.5,134.5
26/01/2016,136.0,136.0,136.0,136.0,"0,04K","1,12%",136.0,136.0,136.0,136.0
27/01/2016,136.1,136.1,136.1,136.1,"0,46K","0,07%",136.1,136.1,136.1,136.1
28/01/2016,138.0,138.0,138.0,138.0,"0,20K","1,40%",138.0,138.0,138.0,138.0
29/01/2016,136.21,136.21,136.21,136.21,"0,40K","-1,30%",136.21,136.21,136.21,136.21
30/01/2016,170.0,170.0,170.0,170.0,,"24,81%",170.0,170.0,170.0,170.0
01/02/2016,137.0,137.0,137.0,137.0,"0,04K","-19,41%",137.0,137.0,137.0,137.0
02/02/2016,137.0,137.0,137.0,137.0,"0,02K","0,00%",137.0,137.0,137.0,137.0
03/02/2016,137.0,137.0,137.0,137.0,"0,10K","0,00%",137.0,137.0,137.0,137.0
04/02/2016,138.0,138.0,138.0,138.0,"0,59K","0,73%",138.0,138.0,138.0,138.0
