Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
11/12/2014,47.95,47.95,47.95,47.95,"0,01K","0,00%",47.95,47.95,47.95,47.95
15/12/2014,47.95,47.95,47.95,47.95,"0,01K","0,00%",47.95,47.95,47.95,47.95
16/12/2014,44.355,44.355,44.355,44.355,"0,05K","-7,50%",44.355,44.355,44.355,44.355
17/12/2014,44.5,44.5,44.5,44.5,"0,00K","0,33%",44.5,44.5,44.5,44.5
18/12/2014,44.5,44.5,44.5,44.5,"0,00K","0,00%",44.5,44.5,44.5,44.5
19/12/2014,44.5,44.5,44.5,44.5,"0,10K","0,00%",44.5,44.5,44.5,44.5
22/12/2014,41.17,41.17,41.17,41.17,"0,06K","-7,48%",41.17,41.17,41.17,41.17
23/12/2014,41.165,41.165,41.165,41.165,"0,10K","-0,01%",41.165,41.165,41.165,41.165
26/12/2014,39.0,39.0,39.0,39.0,"0,46K","-5,26%",39.0,39.0,39.0,39.0
29/12/2014,39.9,39.9,39.9,39.9,"0,55K","2,31%",39.9,39.9,39.9,39.9
30/12/2014,42.89,42.89,42.89,42.89,"0,03K","7,49%",42.89,42.89,42.89,42.89
31/12/2014,46.105,46.105,46.105,46.105,"0,02K","7,50%",46.105,46.105,46.105,46.105
02/01/2015,49.55,49.55,49.55,49.55,"0,00K","7,47%",49.55,49.55,49.55,49.55
05/01/2015,50.0,50.0,50.0,50.0,"0,02K","0,91%",50.0,50.0,50.0,50.0
06/01/2015,53.245,53.245,53.245,53.245,"0,05K","6,49%",53.245,53.245,53.245,53.245
07/01/2015,53.0,53.0,53.0,53.0,"0,00K","-0,46%",53.0,53.0,53.0,53.0
08/01/2015,50.1,50.1,50.1,50.1,"0,03K","-5,47%",50.1,50.1,50.1,50.1
09/01/2015,50.105,50.105,50.105,50.105,"0,03K","0,01%",50.105,50.105,50.105,50.105
12/01/2015,52.5,52.5,52.5,52.5,"0,00K","4,78%",52.5,52.5,52.5,52.5
13/01/2015,52.5,52.5,52.5,52.5,"0,19K","0,00%",52.5,52.5,52.5,52.5
14/01/2015,50.0,50.0,50.0,50.0,"0,04K","-4,76%",50.0,50.0,50.0,50.0
15/01/2015,50.0,50.0,50.0,50.0,"0,02K","0,00%",50.0,50.0,50.0,50.0
19/01/2015,50.0,50.0,50.0,50.0,"0,02K","0,00%",50.0,50.0,50.0,50.0
21/01/2015,49.95,49.95,49.95,49.95,"0,04K","-0,10%",49.95,49.95,49.95,49.95
22/01/2015,49.945,49.945,49.945,49.945,"0,04K","-0,01%",49.945,49.945,49.945,49.945
23/01/2015,49.945,49.945,49.945,49.945,"0,03K","0,00%",49.945,49.945,49.945,49.945
27/01/2015,49.945,49.945,49.945,49.945,"0,03K","0,00%",49.945,49.945,49.945,49.945
28/01/2015,52.0,52.0,52.0,52.0,"0,08K","4,11%",52.0,52.0,52.0,52.0
29/01/2015,51.0,51.0,51.0,51.0,"0,01K","-1,92%",51.0,51.0,51.0,51.0
30/01/2015,52.0,52.0,52.0,52.0,"0,01K","1,96%",52.0,52.0,52.0,52.0
02/02/2015,52.0,52.0,52.0,52.0,"0,03K","0,00%",52.0,52.0,52.0,52.0
03/02/2015,52.5,52.5,52.5,52.5,"0,10K","0,96%",52.5,52.5,52.5,52.5
06/02/2015,53.0,53.0,53.0,53.0,"0,02K","0,95%",53.0,53.0,53.0,53.0
11/02/2015,52.995,52.995,52.995,52.995,"0,14K","-0,01%",52.995,52.995,52.995,52.995
12/02/2015,53.0,53.0,53.0,53.0,"0,03K","0,01%",53.0,53.0,53.0,53.0
13/02/2015,50.1,50.1,50.1,50.1,"0,01K","-5,47%",50.1,50.1,50.1,50.1
16/02/2015,53.0,53.0,53.0,53.0,"0,00K","5,79%",53.0,53.0,53.0,53.0
18/02/2015,53.0,53.0,53.0,53.0,"0,01K","0,00%",53.0,53.0,53.0,53.0
20/02/2015,53.0,53.0,53.0,53.0,"0,00K","0,00%",53.0,53.0,53.0,53.0
23/02/2015,56.0,56.0,56.0,56.0,"0,00K","5,66%",56.0,56.0,56.0,56.0
25/02/2015,55.0,55.0,55.0,55.0,"0,01K","-1,79%",55.0,55.0,55.0,55.0
26/02/2015,55.0,55.0,55.0,55.0,"0,05K","0,00%",55.0,55.0,55.0,55.0
27/02/2015,55.0,55.0,55.0,55.0,"0,00K","0,00%",55.0,55.0,55.0,55.0
02/03/2015,55.0,55.0,55.0,55.0,"0,01K","0,00%",55.0,55.0,55.0,55.0
03/03/2015,56.0,56.0,56.0,56.0,"0,00K","1,82%",56.0,56.0,56.0,56.0
04/03/2015,53.0,53.0,53.0,53.0,"0,21K","-5,36%",53.0,53.0,53.0,53.0
06/03/2015,53.0,53.0,53.0,53.0,"0,22K","0,00%",53.0,53.0,53.0,53.0
09/03/2015,53.0,53.0,53.0,53.0,"0,02K","0,00%",53.0,53.0,53.0,53.0
12/03/2015,56.0,56.0,56.0,56.0,"0,02K","5,66%",56.0,56.0,56.0,56.0
13/03/2015,56.0,56.0,56.0,56.0,"0,04K","0,00%",56.0,56.0,56.0,56.0
16/03/2015,55.9,55.9,55.9,55.9,"0,00K","-0,18%",55.9,55.9,55.9,55.9
17/03/2015,56.005,56.005,56.005,56.005,"0,01K","0,19%",56.005,56.005,56.005,56.005
19/03/2015,56.0,56.0,56.0,56.0,"0,02K","-0,01%",56.0,56.0,56.0,56.0
20/03/2015,59.99,59.99,59.99,59.99,"0,00K","7,13%",59.99,59.99,59.99,59.99
23/03/2015,64.485,64.485,64.485,64.485,"0,99K","7,49%",64.485,64.485,64.485,64.485
24/03/2015,69.0,69.0,69.0,69.0,"0,00K","7,00%",69.0,69.0,69.0,69.0
25/03/2015,72.53,72.53,72.53,72.53,"0,71K","5,12%",72.53,72.53,72.53,72.53
26/03/2015,77.5,77.5,77.5,77.5,"0,12K","6,85%",77.5,77.5,77.5,77.5
27/03/2015,77.0,77.0,77.0,77.0,"0,03K","-0,65%",77.0,77.0,77.0,77.0
30/03/2015,82.0,82.0,82.0,82.0,"0,06K","6,49%",82.0,82.0,82.0,82.0
31/03/2015,77.0,77.0,77.0,77.0,"0,04K","-6,10%",77.0,77.0,77.0,77.0
